topic,url,overview,symptoms,causes,tests,treatment
Canavan Disease,https://www.webmd.com/brain/leukodystrophy-types,"The one thing all leukodystrophies have in common is they cause abnormal development or destruction of the brain’s myelin sheath. That’s the white fatty matter that protects the brain’s nerves. Without it, your nervous system can’t function properly. But each leukodystrophy affects myelin differently. That means children can have many problems, including:For example, one type of leukodystrophy, Canavan disease, causes decreased muscle tone, especially in the neck, and abnormally straight legs and flexed arms. It can also include symptoms like blindness and seizures. Sometimes symptoms show up soon after a child is born, and sometimes as late as adulthood. Signs of Refsum Disease, for example, usually occur around age 20, but can be as late as age 50. Some of the common symptoms include degeneration of the retina in the eye, deafness, and loss of sense of smell. While every leukodystrophy is different, the most common problem is a child’s health gradually worsening in some way, even though they seemed fine to start with. This can be a worsening of their vision, hearing, speech, ability to eat, behavior, or thought. Since symptoms can vary so much, leukodystrophy can be hard to diagnose.","The one thing all leukodystrophies have in common is they cause abnormal development or destruction of the brain’s myelin sheath. That’s the white fatty matter that protects the brain’s nerves. Without it, your nervous system can’t function properly. But each leukodystrophy affects myelin differently. That means children can have many problems, including:For example, one type of leukodystrophy, Canavan disease, causes decreased muscle tone, especially in the neck, and abnormally straight legs and flexed arms. It can also include symptoms like blindness and seizures. Sometimes symptoms show up soon after a child is born, and sometimes as late as adulthood. Signs of Refsum Disease, for example, usually occur around age 20, but can be as late as age 50. Some of the common symptoms include degeneration of the retina in the eye, deafness, and loss of sense of smell. While every leukodystrophy is different, the most common problem is a child’s health gradually worsening in some way, even though they seemed fine to start with. This can be a worsening of their vision, hearing, speech, ability to eat, behavior, or thought. Since symptoms can vary so much, leukodystrophy can be hard to diagnose.","Most of the leukodystrophies are inherited, which means they’re passed down through family genes. Some may not be inherited, but are still caused by a genetic mutation. One child in your family could have leukodystrophy, and others might not.For example, Alexander disease doesn’t seem to be genetically inherited, so your child can have a defective gene even if neither you nor your partner have it. If you have a child with leukodystrophy and you’re planning to have more children, you may want to consider genetic counseling. It can help you understand your chances of having another child with leukodystrophy.","Diagnosing leukodystrophy can be difficult. Oftentimes, doctors have to use several types of testing, including:  ","There is no cure for most kinds of leukodystrophy. Treating it depends on the type, and doctors address the symptoms of the disease with medications and special kinds of physical, occupational, and speech therapy. Some people may need additional help with learning or nutrition. In some cases, a bone marrow transplant can help by slowing or stopping the progression of the disease. Scientists are also researching whether gene therapy or replacing certain enzymes can help treat some kinds of leukodystrophy.Leukodystrophy isn’t just one disease; it’s actually a group of diseases that affect the central nervous system. Doctors are discovering new forms of leukodystrophy all the time, but experts currently know of about 52 different kinds. Most of the leukodystrophies are genetic, meaning they’re passed down from parent to child. Sometimes symptoms will show up early in childhood. But because the diseases are progressive, meaning they get worse over time, some children born with a form of leukodystrophy may seem fine."
Cancer of the Tongue,https://www.webmd.com/cancer/tongue-cancer-facts,"One of the first signs of tongue cancer is a lump or sore on the side of your tongue that doesn’t go away. It may be pinkish-red in color. Sometimes the sore will bleed if you touch or bite it. You may also have:If you have a sore on your tongue or in your mouth that doesn’t get better in a couple of weeks, see your doctor. If the problem is at the base of your tongue, you may not notice any symptoms. Your dentist may find signs of tongue cancer during a checkup, or your doctor might notice something during a regular exam.","One of the first signs of tongue cancer is a lump or sore on the side of your tongue that doesn’t go away. It may be pinkish-red in color. Sometimes the sore will bleed if you touch or bite it. You may also have:If you have a sore on your tongue or in your mouth that doesn’t get better in a couple of weeks, see your doctor. If the problem is at the base of your tongue, you may not notice any symptoms. Your dentist may find signs of tongue cancer during a checkup, or your doctor might notice something during a regular exam.","The human papillomavirus (HPV) can cause cancers on the base of the tongue. HPV also can infect your genital area and cause cervical cancer, penile cancer, and anal cancer. It’s the most common sexually transmitted infection. There are many types of HPV. The ones that raise your odds of getting cancer are called high-risk HPV. Other things that may raise your chances of getting tongue cancer include: Your genes also may play a role in whether you’re likely to get tongue cancer.",Your doctor will examine your mouth and ask questions about your symptoms. They may recommend an X-ray or CT (computerized tomography) scan -- several X-rays are taken from different angles and put together to show a more detailed picture. They also may take a sample of tissue from your mouth to test (a biopsy).,"Your treatment will depend on where your tumor is and how big it is. Surgery is often the best way to remove a tumor from the part of your tongue you can see. Your doctor will probably take out some healthy tissue and nearby lymph nodes as well, to make sure all the cancer is gone. If the cancer is on the back of your tongue, you may have radiation therapy (X-rays and other radiation). Sometimes the best treatment is a combination of chemotherapy, or cancer-fighting drugs, and radiation. You might need therapy afterward to help you chew, move your tongue, swallow, and speak better. You’ll need regular checkups to make sure the cancer hasn’t come back."
Cancer Pain,https://www.webmd.com/cancer/pain-management-cancer-pain,"The symptoms of cancer pain vary from person to person. The amount of pain may depend on the type of cancer, the stage or extent of the disease, and the person's pain threshold (tolerance for pain). Pain can range from mild and occasional to severe and constant.","The symptoms of cancer pain vary from person to person. The amount of pain may depend on the type of cancer, the stage or extent of the disease, and the person's pain threshold (tolerance for pain). Pain can range from mild and occasional to severe and constant.","There are many causes of cancer pain, but often cancer pain occurs when a tumor presses on nerves or body organs or when cancer cells invade bones or body organs. Cancer treatments such as chemotherapy, radiation, or surgery also may cause pain.",,"Although cancer pain is usually treated with medicine, surgery to remove a tumor or radiation therapy to shrink a tumor can be used along with medicine to provide additional pain relief. In most cases, doctors treat cancer pain with pain-relief medicines called analgesics or with non-drug treatments such as physical therapy and rehabilitation, imagery, biofeedback and relaxation techniques. Other treatment options for cancer patients may include nerve blocks, which involve the injection of pain medicine into or around a nerve or the spine. "
Canefield Fever,https://www.webmd.com/a-to-z-guides/what-is-leptospirosis,"You usually start showing signs of leptospirosis within 2 weeks, though in some cases, symptoms may not show up for a month or not at all. When the disease does hit, it hits fast. You’ll get a fever. It may spike to 104 F. Other typical symptoms include:Many of these symptoms are similar to other diseases, including the flu and meningitis, so it’s important to get tested. To check for leptospirosis, your doctor does a simple blood test and examines the blood for antibodies. These are organisms your body produces to fight the bacteria. If you have had the disease in your system before, the blood test may give a false positive (or show antibodies from the previous infection). So your doctor will likely do a second test about a week later to make sure the results are correct. Your doctor could order a DNA test. It’s more precise, but is more expensive and takes longer, and in many areas of the world, it’s not available yet. The bacteria can also be detected if it grows in a blood, spinal fluid, or urine culture","You usually start showing signs of leptospirosis within 2 weeks, though in some cases, symptoms may not show up for a month or not at all. When the disease does hit, it hits fast. You’ll get a fever. It may spike to 104 F. Other typical symptoms include:Many of these symptoms are similar to other diseases, including the flu and meningitis, so it’s important to get tested. To check for leptospirosis, your doctor does a simple blood test and examines the blood for antibodies. These are organisms your body produces to fight the bacteria. If you have had the disease in your system before, the blood test may give a false positive (or show antibodies from the previous infection). So your doctor will likely do a second test about a week later to make sure the results are correct. Your doctor could order a DNA test. It’s more precise, but is more expensive and takes longer, and in many areas of the world, it’s not available yet. The bacteria can also be detected if it grows in a blood, spinal fluid, or urine culture","Leptospirosis is caused by a bacterium called Leptospira interrogans. The organism is carried by many animals and lives in their kidneys. It ends up in soil and water through their urine. If you’re around soil or water where an infected animal has peed, the germ can invade your body through breaks in your skin, like scratches, open wounds, or dry areas. It can also enter through your nose, mouth, or genitals. It’s hard to get it from another human, though it can be passed through sex or breastfeeding.You’re at risk if you spend a lot of time around animals or in the outdoors. You’re more likely to be exposed to it if you have one of these jobs: Also, if you raft, swim, or camp near affected lakes and rivers, you could get the disease. Leptospirosis is more often found in warm climates. And although the bacteria lives all over the world, it’s especially common in Australia, Africa, Southeast Asia, Central and South America, and the Caribbean.",,"Leptospirosis can be treated with antibiotics, including penicillin and doxycycline. Your doctor may also recommend ibuprofen for fever and muscle pain.The disease should run its course in about a week. But, you may have to go to the hospital if your infection is more severe. Symptoms may include kidney failure, meningitis, and lung problems. You may need to have antibiotics injected into your body, and in very serious cases, the infection could damage your organs. Treatment in cases of complications can vary. For example, the disease can spread through your body (systemic inflammatory syndrome) and cause internal bleeding and inflame your pancreas or gallbladder. You or those around you might notice changes in your speech or behavior after the spread of this infection. It also could inflame the heart muscle (myocarditis), leading to symptoms of heart failure including blockages and an irregular heartbeat (dysrhythmia). Your doctor will assess your other symptoms, overall health, health history, age, and other factors before deciding how to treat these complications."
Canker Sores,https://www.webmd.com/oral-health/guide/canker-sores,"A canker sore is a small, shallow open wound (or ulcer) in your mouth that can make eating and talking uncomfortable. They’re also known as aphthous ulcers. There are a few types of canker sores:  ",You may have a canker sore if you have: Severe canker sore attacks may also cause:,"Doctors don’t know what exactly causes most canker sores.  Things that might cause minor sores include:Things that might cause complex canker sores include: About 1 in 5 people gets canker sores regularly. They’re more common in women, possibly because of hormonal differences. They may also run in families.",  Canker sores usually aren’t serious. Call your dentist if you have: They can usually make a diagnosis based on a physical exam and your medical history. They might want to test your blood to see whether a vitamin deficiency or another health condition is causing the sores.,"Pain from a canker sore tends to get better in a few days, and the sores usually heal without treatment in about a week or two. Treatment for large, long-lasting, or unusually painful sores might include:"
Capsaicin,https://www.webmd.com/pain-management/what-is-capsaicin,"When you put capsaicin on your skin, you help block pain messages to your nerves. Studies show capsaicin creams and patches can help relieve pain that's due to: Some research suggests it may help improve scaling, inflammation, redness, and pain from psoriasis. It may also help relieve pain from nerve damage that's due to:  ",,,,
Car Seats for Children,https://www.webmd.com/parenting/baby/stay-safe-in-car,To minimize the risk that a child will accidentally be left behind in a car or get trapped inside:,,,,
Carbon Monoxide Poisoning,https://www.webmd.com/a-to-z-guides/prevent-carbon-monoxide-poisoning,"Someone who is asleep can die from carbon monoxide poisoning without ever waking up. That’s all the more reason to make sure your home is safe. When you buy appliances that burn fuel, look for the seal of a testing agency such as UL. In your home, any equipment should be installed with vents running outdoors. Here are more tips:","If you inhale too much carbon monoxide, it builds up in your bloodstream, where it takes the place of the oxygen that belongs there. When your heart, brain, or other vital organs are deprived of that oxygen, you’re in trouble. If the dangerous gas is getting into your system, you might: Carbon monoxide is especially dangerous for infants, pregnant women, and people with ailments such as emphysema (which damages the air sacs in your lungs), asthma or heart disease. Smaller amounts of the fumes can hurt them.",,,
Carcinoid Apudoma,https://www.webmd.com/cancer/carcinoid-syndrome,,,,,
Carcinoid Syndrome,https://www.webmd.com/cancer/carcinoid-syndrome,,,,,
Catatonia,https://www.webmd.com/schizophrenia/what-is-catatonia, Doctors can diagnose someone as catatonic if they have any three of these signs:, Doctors can diagnose someone as catatonic if they have any three of these signs:,"Doctors aren’t sure exactly what makes someone become catatonic. It happens most often with people who have mood disorders or psychotic disorders, like depression, bipolar disorder, and schizophrenia. About a third of people who are catatonic also have bipolar disorder. Several physical conditions can lead to catatonia in people who don’t have a mental illness. These include:", Doctors can diagnose someone as catatonic if they have any three of these signs:,"Doctors usually treat catatonia with a kind of sedative called a benzodiazepine that’s often used to ease anxiety. Another treatment option is electroconvulsive therapy (ECT). It sends electrical impulses to the person’s brain through electrodes placed on their head. (They’re given medicine to sleep through the procedure.) It might be recommended if:Catatonia is a group of symptoms that usually involve a lack of movement and communication, and also can include agitation, confusion, and restlessness. Until recently, it was thought of as a type of schizophrenia. But doctors now understand that other mental illnesses and some conditions that throw off your body’s metabolism also can make you catatonic. About 1 person in 10 who has a severe mental illness will have catatonia at some point. Catatonia can be treated, but if it’s not, it can lead to life-threatening problems."
Central Precocious Puberty,https://www.webmd.com/parenting/central-precocious-puberty,"The brain releases a hormone called gonadotropin-releasing hormone. Your doctor may call it GnRH. It tells the pituitary gland to release hormones called gonadotropins. They tell the sex organs to make other hormones that start sexual development.In central precocious puberty, the brain releases GnRH at a younger-than-normal age and starts the process. Most of the time, doctors can't pinpoint an exact cause for girls, but researchers have linked childhood obesity to early periods. Boys are more likely to have a specific trigger. Other causes include:","The signs of CPP are the changes you'd expect to see in a maturing preteen or teen. Sometimes, kids can have hair appear on their genitals and under the arm, but it doesn’t mean they are in true puberty.","The brain releases a hormone called gonadotropin-releasing hormone. Your doctor may call it GnRH. It tells the pituitary gland to release hormones called gonadotropins. They tell the sex organs to make other hormones that start sexual development.In central precocious puberty, the brain releases GnRH at a younger-than-normal age and starts the process. Most of the time, doctors can't pinpoint an exact cause for girls, but researchers have linked childhood obesity to early periods. Boys are more likely to have a specific trigger. Other causes include:","Your child's doctor will likely ask you questions before doing an exam or tests.If the symptoms aren't severe, it can be hard to tell if it's CPP. Your doctor may want your child to see a specialist who focuses on children's hormones and growth, called a pediatric endocrinologist. They’ll look for signs of puberty, but they may also check: Blood tests check levels of hormones. X-rays help find out if your child's bones are maturing too early. MRI or CT scans can rule out a tumor.","If your doctor can find a cause, they’ll treat that. In some cases, doctors can use a drug to block sex hormones and prevent further development. A man-made version of GnRH stops the pituitary gland from sending out gonadotropins.The doctor can give your child a shot once a month or every 3 months, or they can put a small implant under the skin of your child's upper arm that works for a year. The part of the body where they get the shot or implant may hurt a bit, or their skin might get irritated around that spot, but there don’t seem to be any long-term side effects. You'll probably want to keep up the treatment until your child gets old enough to let puberty continue. Talk with your doctor about when that would be. Most doctors treat a child younger than 7 years old. When you're thinking about whether to treat CPP in an older child, you'll want to think about: Talk these things over with your child's doctor before you make any decisions."
Cervical Ectropion,https://www.webmd.com/cancer/cervical-cancer/cervical-ectropion,"You may have been born with cervical ectropion. Or you may develop it later in life, most likely when your hormone levels change and estrogen levels go up, such as during puberty, pregnancy, or when you take birth control pills. A few studies have found that women who have the STD chlamydia may be more likely to have cervical ectropion, but there hasn’t been enough research to prove that link.",Many women with cervical ectropion don’t have symptoms. But some will have:,"You may have been born with cervical ectropion. Or you may develop it later in life, most likely when your hormone levels change and estrogen levels go up, such as during puberty, pregnancy, or when you take birth control pills. A few studies have found that women who have the STD chlamydia may be more likely to have cervical ectropion, but there hasn’t been enough research to prove that link.","Your doctor may find you have cervical ectropion after they look at your cervix with a tool called a speculum. Cervical ectropion looks much redder than a typical cervix. But it’s important to rule out more serious conditions like cervical cancer or STDs that may look similar. Your doctor may want to do a Pap test and check for infections with a swab. They may use a tool with a bright light, called a colposcope, so they can see your cervix better. They may decide to take a sample of tissue from the area to check it for abnormal cells.","Most women don’t need any treatment for cervical ectropion. If you have symptoms that started during pregnancy, they should go away 3 to 6 months after you have your baby. If you think birth control pills are causing your symptoms, you can change to another form of birth control to see if that helps.But if symptoms bother you and you want treatment, your doctor can use a few different approaches: Diathermy. Your doctor uses a small tool to apply high heat to the cells causing your symptoms, which burns and seals them off. You’ll probably get medicine to numb the area first. Cryotherapy. Also called cryosurgery, a doctor uses a probe to freeze the cells on the cervix and stop your symptoms. You’ll be awake during the procedure and probably won’t need any pain medicine. Research has found this procedure works well for women with a lot of discharge from cervical ectropion. Silver nitrate. Your doctor applies this chemical to the cervix to seal off the cells causing bleeding. You probably won’t need any numbing medicine beforehand. After any of these treatments, you may feel some mild pain like period cramps and have some light bleeding or discharge. If the pain becomes severe or the bleeding heavy, call your doctor. Don’t use tampons or have sex for about 4 weeks, until your cervix has healed. Your doctor’s office will give you any other specific instructions for what to do. Schedule any follow-up visits that your doctor recommends.Cervical ectropion happens when cells that line the inside of your cervix grow on the outside. These cells are redder and are more sensitive than the cells typically on the outside, which is why they may cause symptoms, like bleeding and discharge, for some women. The condition is sometimes called cervical eversion, ectropy, or erosion. It’s fairly common in women who are in their childbearing years, and it’s usually nothing to worry about. It’s not a sign of another health problem, like cervical cancer. But if you have symptoms that bother you, there are treatments your doctor can try."
CF (Cystic Fibrosis),https://www.webmd.com/children/what-is-cystic-fibrosis,"Cystic fibrosis (CF) is a genetic disorder, which means you get if from your parents at birth. It affects the way your body makes mucus, a substance that helps your organs and systems work. Mucus should be thin and slippery, but when you have CF, it becomes thick and glue-like. This blocks tubes and ducts throughout your body. Over time, this thick mucus builds up inside your airways. This makes it hard to breathe. The mucus traps germs and leads to infections. It can also cause severe lung damage like cysts (fluid-filled sacs) and fibrosis (scar tissue). That’s how CF got its name. More than 30,000 people in the U.S. live with cystic fibrosis. Doctors diagnose about 1,000 new cases each year.",People with CF can have symptoms including:,"Cystic fibrosis is caused by a change, or mutation, in a gene called CFTR (cystic fibrosis transmembrane conductance regulator). This gene controls the flow of salt and fluids in and out of your cells. If the CFTR gene doesn’t work the way it should, a sticky mucus builds up in your body. To get CF, you have to inherit the mutated copy of the gene from both of your parents. Ninety percent of those with affected have at least one copy of the F508del mutation. If you inherit only one copy, you won’t have any symptoms, but you will be a carrier of the disease. That means there’s a chance you could pass it to your children. About 10 million Americans are CF carriers. Every time two CF carriers have a baby, there’s a 25% (1 in 4) chance that their baby will be born with CF.",Early diagnosis means early treatment and better health later in life. Every state in the U.S. tests newborns for cystic fibrosis using one or more of these three tests: Some people who weren’t tested at birth aren’t diagnosed with CF until they become adults. Your doctor might give you DNA or sweat tests if you have symptoms of the disease.,"There’s no cure for cystic fibrosis, but medications and other therapies can ease symptoms. Medications. Your doctor may give you drugs to open your airways, thin mucus, prevent infections, and help your body get nutrients from food. These include: Airway clearance techniques. These can help get rid of mucus. You might try: Physical therapy for CF. This includes breathing exercises designed to push air between layers of mucus and your chest wall. They make it easier to cough up the gunk and ease blocked airways. Some common exercises include:"
CFS,https://www.webmd.com/chronic-fatigue-syndrome/what-is-chronic-fatigue-syndrome,"If you have mild ME/CFS, you can probably manage on your own. Moderate symptoms can make it hard for you to move around. For example, you might need to sleep in the afternoons. Severe symptoms can impact your quality of life and abilities as badly as if you had lupus, heart disease, or rheumatoid arthritis.",,,,
CFS (Chronic Fatigue Syndrome),https://www.webmd.com/chronic-fatigue-syndrome/what-is-chronic-fatigue-syndrome,"If you have mild ME/CFS, you can probably manage on your own. Moderate symptoms can make it hard for you to move around. For example, you might need to sleep in the afternoons. Severe symptoms can impact your quality of life and abilities as badly as if you had lupus, heart disease, or rheumatoid arthritis.",,,,
Chagas Disease,https://www.webmd.com/a-to-z-guides/chagas-disease-overview,"T. cruzi isn’t passed from person to person like a cold or flu. Instead, the parasite is spread by triatomine bugs, also known as “kissing bugs.” They’re called that because they often bite people on the thin skin around the eyes or mouth, usually while the person is asleep. (The bites are fairly painless and probably wouldn’t wake someone up.) But the bug’s bite isn’t what causes the infection -- it’s their poop. If a bug bites an infected animal or person, it becomes a carrier of T. cruzi, which is passed through its feces. The next time the bug feeds on a person, it leaves droppings on them, which can enter that person’s body through their eyes, nose, mouth, or the wound from the bite itself.Although people mainly get infected from triatomine bugs, the parasite can be passed a few other ways: In November 2014, a study from the University of Pennsylvania School of Medicine found that bed bugs can carry T. cruzi. It’s not clear whether these bugs are likely to pass the parasite to people, though.","Chagas disease has two phases. During the first (or acute) phase, symptoms are usually mild. They might include: These early symptoms -- if they happen at all -- usually fade on their own in a few weeks or months. The only people in real danger are young children or people with already weakened immune systems.While the symptoms may go away, the parasite remains in the body. It can stay dormant for years or even decades. If the disease enters its second (or chronic) phase, it can cause serious heart and intestinal problems, including:",,,"Chagas disease is easiest to treat during the first phase. But the lack of symptoms can make it tough to spot early on. If you think you have it, your doctor can give you blood tests. If the tests show you're infected, you’ll need an EKG test to check for any heart problems. Two drugs can treat the disease: benznidazole (Alunbrig) and nifurtimox (Lampit), which kill the parasite. They work well if taken soon after infection. The longer someone's had Chagas disease, the less likely the drugs are to work. Pregnant women can’t take them, but infected newborns can. If you’re in the U.S., the only way to get the drugs is through the CDC, since they’re not approved by the FDA. The drugs must be taken for up to 2 months. They can cause serious side effects, especially in older people."
Chalazia,https://www.webmd.com/eye-health/understanding-stye-basics,"Usually it’s a combination of a clogged oil gland and a certain type of bacteria. Your body is coated with billions of friendly bacteria that live right along with you. Most of the time there’s no problem. But when conditions are right, the bacteria overproduce and create a pimple.",,"Usually it’s a combination of a clogged oil gland and a certain type of bacteria. Your body is coated with billions of friendly bacteria that live right along with you. Most of the time there’s no problem. But when conditions are right, the bacteria overproduce and create a pimple.",,
Chalazion,https://www.webmd.com/eye-health/chalazion-what-is,A chalazion is a small swelling or lump on your eyelid because of a blocked gland. They’re called chalazia if you have more than one. A chalazion is one of the most common types of eyelid lumps. Chalazia are most likely to happen on your upper eyelid. You can get them on both eyes at once. Chalazia often go away and come back.,"A chalazion starts with a small area that may be red, swollen, and sore or painful when touched. After a few days, the pain usually goes away, and a bump or lump remains. You may also have:",Chalazia happen more often in adults than children. They might be more likely if you have:,"There are no special tests for chalazia. Your doctor will probably ask about your symptoms, past eye problems, and your health history in general. If you get chalazia more than once, your doctor may recommend that you see an eye specialist such as an ophthalmologist or optometrist. They’ll want to rule out other eye problems. Treating conditions like blepharitis and meibomian gland dysfunction can keep chalazia from coming back.  ","Chalazia often go away in days or weeks without treatment. But certain things might speed the process. Medical treatment See your doctor if you think you have a chalazion. They may want to check it and tell you how to take care of it to help it heal. They can also suggest certain eye drops or creams to use. If other treatments don’t work, your doctor can prescribe medicines or give you steroid injections to help clear up the problem. In severe cases, they might need to numb the area and cut it open to drain it. Home treatment One remedy is to apply warm, moist heat to the area with a clean washcloth. Your doctor or nurse can give you instructions about how often to do it and for how long. It might also help to clean your eyelids with a mild soap, such as baby shampoo, or over-the-counter eyelid scrubs. Gently massage the area to help open the gland. But never try to squeeze or pop a chalazion. That might make the problem worse."
Chamomile,https://www.webmd.com/diet/supplement-guide-chamomile,"Given the lack of evidence about its long-term safety, chamomile is not recommended for women who are pregnant or breastfeeding. Talk to a pediatrician before giving chamomile to infants and children.Chamomile has been used as a traditional medicine for thousands of years to calm anxiety and settle stomachs. In the U.S., chamomile is best known as an ingredient in herbal tea.",,"Given the lack of evidence about its long-term safety, chamomile is not recommended for women who are pregnant or breastfeeding. Talk to a pediatrician before giving chamomile to infants and children.Chamomile has been used as a traditional medicine for thousands of years to calm anxiety and settle stomachs. In the U.S., chamomile is best known as an ingredient in herbal tea.",,
Chanarin Dorfman Disease,https://www.webmd.com/skin-problems-and-treatments/what-is-ichthyosis,"Ichthyosis is a group of about 20 skin conditions that cause skin dryness and scaling. The condition gets its name from the Greek word for fish, because the skin looks like fish scales. You might also hear it called fish scale or fish skin disease. People with this condition lose the protective barrier that keeps moisture in their skin. They also make new skin cells too quickly or shed old cells too slowly. This leads to a buildup of thick, scaly skin. Most cases of ichthyosis are mild. Ichthyosis can't be cured, but treatments can relieve the scaling and make you feel more comfortable.","In the inherited forms, symptoms appear at birth or in the first few months of life. Dry, scaly skin is the main symptom. The scales form on only some parts of the body, such as the: The scales can be white, gray, or dark brown. They might have thick or thin cracks running through them. Dryness and scaling get worse in cold, dry weather. They usually improve in warmer weather. Other signs of ichthyosis are: Many people with ichthyosis also have eczema, a red, itchy rash.","Inherited ichthyosis is a genetic condition. That means it’s passed down to you from your parents. Genes are the codes that tell your body to make proteins, which determine how your body looks and functions. When there are changes or mutations to a gene, it can cause disease. Ichthyosis gene mutations affect the proteins that protect your skin and keep it moist. They also affect how quickly your body sheds or grows new skin cells. Ichthyosis usually shows up in early childhood. If both of your parents have the gene, you’re likely to have a more serious condition than if only one of them has the gene. Acquired ichthyosis shows up in adulthood. Doctors don’t know what causes it, but people with it often have other conditions, including: Some medicines might also trigger the condition:","Sometimes it’s so mild that it looks like regular dry skin. If the dryness and scaling bother you, see a dermatologist -- a doctor who treats skin problems -- for treatment. They may:","It can't be cured, but treatments can help you manage dry and scaly skin.Rub cream, lotion, or ointment onto your skin every day to add moisture. Look for rich creams that have any of these ingredients: lanolin, alpha hydroxy acids, urea, or propylene glycol. Products with ceramides or cholesterol also keep skin moist."
Charcot-Marie-Tooth Disease,https://www.webmd.com/brain/what-is-charcot-marie-tooth-disease,"It isn't contagious. It’s passed down from parents to children in their DNA. The disease has no known cure, but scientists have identified many genes that cause the disorder. Genetic mutations in CMT affect the way that nerve cells “talk” with each other. Over time, they’re unable to work properly and start to fall apart. This can make you become weak and possibly less able to feel sensations such as a blister on your toe.","The symptoms of CMT disease generally start before you’re out of your teens. One that shows up a lot is a high arch, which happens as some foot muscles weaken while others remain strong. Another possible problem: hammertoes, in which the second, third or fourth toes bend in the middle. These can start making it hard to walk, and you tend to get blisters and calluses. As walking gets harder, you may have a hard time lifting your feet (called “foot drop”). You may form a “slapping” gait, in which your foot slaps against the floor. You might start to lose muscle in your lower legs. Numbness and problems with balance may set in. Later, the condition may affect your hands and arms. Usually, that’s as far as it goes, and people can live long, full lives with CMT disease.","It isn't contagious. It’s passed down from parents to children in their DNA. The disease has no known cure, but scientists have identified many genes that cause the disorder. Genetic mutations in CMT affect the way that nerve cells “talk” with each other. Over time, they’re unable to work properly and start to fall apart. This can make you become weak and possibly less able to feel sensations such as a blister on your toe.","If you start showing symptoms, see your doctor. You’ll likely be referred to a neurologist, a specialist in the nervous system.They’ll likely take a family history, look at your symptoms, get X-rays and do some tests. Among them: In addition, your doctor may order a DNA blood test to see if you carry gene mutations for this condition. A negative test (which means one is not found) can’t rule out CMT disease because not every mutation has been identified.","There is no cure for CMT disease. You can manage it in a number of ways.Foot care is important. Doctors urge people to regularly check their feet, keep their nails trimmed, and wear the right kind of shoes. Other things include: In certain cases, your doctor may recommend surgery to repair foot and joint problems. However, the disease’s effects on the nervous system can’t be reversed. You can also check into support groups, including the Charcot-Marie-Tooth Association and the Muscular Dystrophy Association."
Chelation Therapy,https://www.webmd.com/balance/guide/what-is-chelation-therapy,"Chelation therapy uses special drugs that bind to metals in your blood. You get the chelating medicine through an intravenous (IV) tube in your arm. It’s also available in pill form. Once the drug has attached to the metal, your body removes them both through your pee. Metals that can be removed with chelation therapy include lead, mercury, and arsenic. Before you get this treatment, your doctor will do a blood test to make sure you have metal poisoning.",,,,"Some natural health care providers and supplement companies claim they use chelation therapy to reduce symptoms of autism, Alzheimer's disease, or heart disease. Yet this treatment is only approved by the U.S. Food and Drug Administration (FDA) to treat metal poisoning. Here's what the research shows regarding chelation treatment for these three conditions: Autism. The use of chelation therapy to treat this condition is based on the idea that autism is caused by mercury in childhood vaccines. Studies have proven this idea to be false. But some health care providers also believe that removing metals from the body can improve autism symptoms. The American Academy of Pediatrics (AAP) says there’s no evidence that chelation is an effective treatment for autism, and it may be dangerous. One child with the condition died after having this treatment. The AAP doesn't recommend using chelation therapy for autism, except in a clinical trial. Alzheimer's Disease. In patients who have this, abnormal proteins called tau and beta amyloid build up in the brain and damage it. To date, no treatment can stop or reverse this disease.Some researchers think that a buildup of metals like copper, iron, and zinc might also play a role in Alzheimer's disease. If this is true, chelation therapy might have a place in treating it. So far, there's no evidence that it works. Heart Disease. You get this when fatty deposits called plaques form in your arteries. These substances cause your blood vessels to narrow. They also make them less flexible, so less blood can flow through them. Artery plaques contain calcium. The chelating drug disodium EDTA binds to this mineral. The idea is that chelation therapy clears it out of the blood vessels. It removes plaques, too. In 2002, the National Institutes of Health did a big study on chelation therapy, called TACT. It found that this treatment somewhat reduced the risk of heart attacks, strokes, and other heart problems. But it only worked in people with diabetes. The study didn't find enough proof that it treats heart disease. And so far, the FDA hasn't approved this treatment for the condition. A new study called TACT2 may yield more information."
CHF (Congestive Heart Failure),https://www.webmd.com/heart-disease/guide-heart-failure,"With the right care, heart failure may not stop you from doing the things you enjoy. Your prognosis or outlook for the future will depend on how well your heart muscle is functioning, your symptoms, and how well you respond to and follow your treatment plan. Everyone with a long-term illness such as heart failure should discuss their desires for extended medical care with their doctor and family. An advance directive or living will is one way to let everyone know your wishes. A living will expresses your desires about the use of medical treatments to prolong your life. This document is prepared while you are fully competent in case you are unable to make these decisions at a later time.","You may not have any symptoms of heart failure, or the symptoms may be mild to severe. Symptoms can be constant or can come and go. The symptoms can include: If you have heart failure, you may have one or all of these symptoms or you may have none of them. They may or may not indicate a weakened heart.","Heart failure is caused by many conditions that damage the heart muscle, including:",,"Heart failure management is a team effort, and you are the key player on the team. Your heart doctor will prescribe your medications and manage other medical problems. Other team members -- including nurses, dietitians, pharmacists, exercise specialists, and social workers -- will help you achieve success. But it is up to YOU to take your medications, make dietary changes, live a healthy lifestyle, keep your follow-up appointments, and be an active member of the team. If you notice anything unusual, don't wait until your next appointment to discuss it with your doctor. Call them right away if you have:  "
